prov_name,yr,age,pop_prop
Shanxi,1996,1_14,0.262903219
Shanxi,1996,15_49,0.55330514
Shanxi,1996,50_,0.168126601
Shanxi,1997,0,0.015035574
Shanxi,1997,1_14,0.258218827
Shanxi,1997,15_49,0.557004767
Shanxi,1997,50_,0.169740833
Shanxi,1998,0,0.014406106
Shanxi,1998,1_14,0.253534436
Shanxi,1998,15_49,0.560704393
Shanxi,1998,50_,0.171355064
Shanxi,1999,0,0.013776639
Shanxi,1999,1_14,0.248850044
Shanxi,1999,15_49,0.56440402
Shanxi,1999,50_,0.172969296
Shanxi,2000,0,0.013147172
Shanxi,2000,1_14,0.244165653
Shanxi,2000,15_49,0.568103647
Shanxi,2000,50_,0.174583528
Shanxi,2001,0,0.012770859
Shanxi,2001,1_14,0.235670288
Shanxi,2001,15_49,0.566613881
Shanxi,2001,50_,0.184944973
Shanxi,2002,0,0.012394546
Shanxi,2002,1_14,0.227174923
Shanxi,2002,15_49,0.565124114
Shanxi,2002,50_,0.195306417
Shanxi,2003,0,0.012018233
Shanxi,2003,1_14,0.218679558
Shanxi,2003,15_49,0.563634348
Shanxi,2003,50_,0.205667861
Shanxi,2004,0,0.01164192
Shanxi,2004,1_14,0.210184193
Shanxi,2004,15_49,0.562144581
Shanxi,2004,50_,0.216029305
Shanxi,2005,0,0.011265608
Shanxi,2005,1_14,0.201688828
Shanxi,2005,15_49,0.560654815
Shanxi,2005,50_,0.22639075
Shanxi,2006,0,0.010948984
Shanxi,2006,1_14,0.193610346
Shanxi,2006,15_49,0.566768752
Shanxi,2006,50_,0.228671919
Shanxi,2007,0,0.01063236
Shanxi,2007,1_14,0.185531864
Shanxi,2007,15_49,0.572882688
Shanxi,2007,50_,0.230953088
Shanxi,2008,0,0.010315736
Shanxi,2008,1_14,0.177453382
Shanxi,2008,15_49,0.578996625
Shanxi,2008,50_,0.233234257
Shanxi,2009,0,0.009999112
Shanxi,2009,1_14,0.169374901
Shanxi,2009,15_49,0.585110562
Shanxi,2009,50_,0.235515426
Shanxi,2010,0,0.009682488
Shanxi,2010,1_14,0.161296419
Shanxi,2010,15_49,0.591224498
Shanxi,2010,50_,0.237796594
Shanxi,2011,0,0.009680697
Shanxi,2011,1_14,0.157200832
Shanxi,2011,15_49,0.585495314
Shanxi,2011,50_,0.247623156
Shanxi,2012,0,0.009678906
Shanxi,2012,1_14,0.153105245
Shanxi,2012,15_49,0.579766131
Shanxi,2012,50_,0.257449718
Shanxi,2013,0,0.009677115
Shanxi,2013,1_14,0.149009658
Shanxi,2013,15_49,0.574036947
Shanxi,2013,50_,0.26727628
Shanxi,2014,0,0.009675325
Shanxi,2014,1_14,0.144914071
Shanxi,2014,15_49,0.568307763
